BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
10135753,GW014317.1.1,0.0,94.4,123.54,29.14,LIN,UNK,,203.0,UNK,,UNK,1,
10146718,GW012272.1.1,0.0,152.4,133.0,-19.4,LIN,UNK,,152.0,UNK,,UNK,1,
10146718,GW012272.1.1,0.0,87.2,133.0,45.8,LIN,UNK,,203.0,UNK,,UNK,1,
10146718,GW012272.1.1,188.4,280.4,-55.4,-147.4,LIN,UNK,,127.0,UNK,,UNK,1,
10146718,GW012272.1.1,195.1,210.3,-62.1,-77.3,INLT,UNK,,127.0,UNK,,UNK,1,
10146718,GW012272.1.1,261.8,274.0,-128.8,-141.0,INLT,UNK,,127.0,UNK,,UNK,1,
10146718,GW012272.1.1,0.0,87.2,133.0,45.8,LIN,UNK,,203.0,UNK,,UNK,1,
10138799,GW012298.1.1,0.0,274.3,132.0,-142.3,LIN,UNK,,152.0,UNK,,UNK,1,
10138799,GW012298.1.1,0.0,88.7,132.0,43.3,LIN,UNK,,203.0,UNK,,UNK,1,
10138799,GW012298.1.1,0.0,88.7,132.0,43.3,LIN,UNK,,203.0,UNK,,UNK,1,
10145090,GW004301.1.1,0.0,27.4,153.18,125.78,LIN,UNK,,152.0,UNK,,UNK,1,
10145090,GW004301.1.1,0.0,29.0,153.18,124.18,LIN,UNK,,152.0,UNK,,UNK,1,
10041022,GW006296.1.1,33.8,45.8,128.2,116.2,LIN,UNK,,152.0,UNK,,UNK,1,
10041022,GW006296.1.1,0.0,33.8,162.0,128.2,LIN,UNK,,,UNK,,UNK,1,
10126168,GW021207.1.1,0.0,243.8,135.0,-108.8,LIN,UNK,,162.0,UNK,,UNK,1,
10126168,GW021207.1.1,0.0,94.0,135.0,41.0,LIN,UNK,,203.0,UNK,,UNK,1,
10126168,GW021207.1.1,0.0,94.0,135.0,41.0,LIN,UNK,,203.0,UNK,,UNK,1,
10131046,GW004252.1.1,0.0,299.8,106.7,-193.1,LIN,UNK,,152.0,UNK,,UNK,1,
10131046,GW004252.1.1,0.0,3.7,106.7,103.0,LIN,UNK,,203.0,UNK,,UNK,1,
10137078,GW004262.1.1,0.0,194.7,128.13,-66.57,LIN,UNK,,127.0,UNK,,UNK,1,
10137078,GW004262.1.1,0.0,116.3,128.13,11.83,LIN,UNK,,203.0,UNK,,UNK,1,
10137078,GW004262.1.1,356.3,357.5,-228.17,-229.37,INLT,UNK,,127.0,UNK,,UNK,1,
10137078,GW004262.1.1,359.6,360.8,-231.47,-232.67,INLT,UNK,,127.0,UNK,,UNK,1,
10137078,GW004262.1.1,362.7,363.9,-234.57,-235.77,INLT,UNK,,127.0,UNK,,UNK,1,
10137078,GW004262.1.1,366.3,367.5,-238.17,-239.37,INLT,UNK,,127.0,UNK,,UNK,1,
10137078,GW004262.1.1,368.8,370.0,-240.67,-241.87,INLT,UNK,,127.0,UNK,,UNK,1,
10137078,GW004262.1.1,438.6,439.8,-310.47,-311.67,INLT,UNK,,127.0,UNK,,UNK,1,
10137078,GW004262.1.1,441.6,442.8,-313.47,-314.67,INLT,UNK,,127.0,UNK,,UNK,1,
10142530,GW004264.1.1,0.0,439.8,130.0,-309.8,LIN,UNK,,127.0,UNK,,UNK,1,
10142530,GW004264.1.1,0.0,110.6,130.0,19.4,LIN,UNK,,152.0,UNK,,UNK,1,
10142530,GW004264.1.1,452.9,625.1,-322.9,-495.1,LIN,UNK,,101.0,UNK,,UNK,1,
