BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,HGUID,HGUNumber,NafHGUNumber,NafHGUName,Description,Author,Source,Comment,GA_UNIT,GA_STRATNO,geometry
10003699.0,GW042677.1.1,62.0,73.25,12.0,0.75,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Shale,UNK,UNK,,Loxton Sand,10825,
10003699.0,GW042677.1.1,62.0,73.25,12.0,0.75,11000023.0,110007.0,110008.0,Renmark Group,Shale,UNK,UNK,,Renmark Group,16036,
10003953.0,GW042678.1.1,0.0,50.0,79.0,29.0,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Shale,UNK,UNK,,Loxton Sand,10825,
10003953.0,GW042678.1.1,0.0,50.0,79.0,29.0,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10003953.0,GW042678.1.1,0.0,50.0,79.0,29.0,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",,UNK,UNK,,Loxton Sand,10825,
10003953.0,GW042678.1.1,0.0,50.0,79.0,29.0,11000023.0,110007.0,110008.0,Renmark Group,Shale,UNK,UNK,,Renmark Group,16036,
10003953.0,GW042678.1.1,0.0,50.0,79.0,29.0,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10003953.0,GW042678.1.1,0.0,50.0,79.0,29.0,11000023.0,110007.0,110008.0,Renmark Group,,UNK,UNK,,Renmark Group,16036,
10003953.0,GW042678.1.1,50.0,77.83,29.0,1.17,11000024.0,115028.0,115024.0,"Lower Renmark Group
",Sandstone,UNK,UNK,,Renmark Group,16036,
10003953.0,GW042678.1.1,50.0,77.83,29.0,1.17,11000024.0,115028.0,115024.0,"Lower Renmark Group
",Sand,UNK,UNK,,Renmark Group,16036,
10007497.0,GW018354.1.1,0.0,0.61,80.0,79.39,11000014.0,104011.0,104010.0,Shepparton Formation,(Unknown),UNK,UNK,,Shepparton Formation,25474,
10007497.0,GW018354.1.1,0.61,2.13,79.39,77.87,11000014.0,104011.0,104010.0,Shepparton Formation,Clay,UNK,UNK,,Shepparton Formation,25474,
10007497.0,GW018354.1.1,2.13,3.66,77.87,76.34,11000014.0,104011.0,104010.0,Shepparton Formation,Gravel,UNK,UNK,,Shepparton Formation,25474,
10007497.0,GW018354.1.1,3.66,9.75,76.34,70.25,11000014.0,104011.0,104010.0,Shepparton Formation,Clay,UNK,UNK,,Shepparton Formation,25474,
10007497.0,GW018354.1.1,9.75,16.76,70.25,63.24,11000016.0,105002.0,105002.0,"Blanchetown Clay
",Clay,UNK,UNK,,"Blanchetown Clay
",1918,
10007497.0,GW018354.1.1,16.76,22.56,63.24,57.44,11000016.0,105002.0,105002.0,"Blanchetown Clay
",Clay,UNK,UNK,,"Blanchetown Clay
",1918,
10007497.0,GW018354.1.1,22.56,26.52,57.44,53.48,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10007497.0,GW018354.1.1,22.56,26.52,57.44,53.48,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10007497.0,GW018354.1.1,26.52,32.61,53.48,47.39,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10007497.0,GW018354.1.1,26.52,32.61,53.48,47.39,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10007497.0,GW018354.1.1,32.61,36.58,47.39,43.42,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10007497.0,GW018354.1.1,32.61,36.58,47.39,43.42,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10007497.0,GW018354.1.1,36.58,38.4,43.42,41.6,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10007497.0,GW018354.1.1,36.58,38.4,43.42,41.6,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10007497.0,GW018354.1.1,38.4,39.01,41.6,40.99,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10007497.0,GW018354.1.1,38.4,39.01,41.6,40.99,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10007497.0,GW018354.1.1,39.01,41.15,40.99,38.85,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10007497.0,GW018354.1.1,39.01,41.15,40.99,38.85,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10007497.0,GW018354.1.1,41.15,43.89,38.85,36.11,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10007497.0,GW018354.1.1,41.15,43.89,38.85,36.11,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10007497.0,GW018354.1.1,43.89,44.81,36.11,35.19,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10007497.0,GW018354.1.1,43.89,44.81,36.11,35.19,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10013548.0,GW022021.1.1,0.0,4.57,72.0,67.43,11000016.0,105002.0,105002.0,"Blanchetown Clay
",Clay,UNK,UNK,,"Blanchetown Clay
",1918,
10013548.0,GW022021.1.1,4.57,16.76,67.43,55.24,11000016.0,105002.0,105002.0,"Blanchetown Clay
",Clay,UNK,UNK,,"Blanchetown Clay
",1918,
10013548.0,GW022021.1.1,16.76,27.43,55.24,44.57,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10013548.0,GW022021.1.1,16.76,27.43,55.24,44.57,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10013548.0,GW022021.1.1,27.43,39.62,44.57,32.38,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10013548.0,GW022021.1.1,27.43,39.62,44.57,32.38,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10013548.0,GW022021.1.1,39.62,42.37,32.38,29.63,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sandstone,UNK,UNK,,Loxton Sand,10825,
10013548.0,GW022021.1.1,39.62,42.37,32.38,29.63,11000023.0,110007.0,110008.0,Renmark Group,Sandstone,UNK,UNK,,Renmark Group,16036,
10021940.0,GW010436.1.1,0.0,6.1,79.0,72.9,11000014.0,104011.0,104010.0,Shepparton Formation,Clay,UNK,UNK,,Shepparton Formation,25474,
10021940.0,GW010436.1.1,6.1,9.14,72.9,69.86,11000014.0,104011.0,104010.0,Shepparton Formation,Clay,UNK,UNK,,Shepparton Formation,25474,
10021940.0,GW010436.1.1,9.14,12.19,69.86,66.81,11000014.0,104011.0,104010.0,Shepparton Formation,Clay,UNK,UNK,,Shepparton Formation,25474,
10021940.0,GW010436.1.1,12.19,19.81,66.81,59.19,11000014.0,104011.0,104010.0,Shepparton Formation,Clay,UNK,UNK,,Shepparton Formation,25474,
10021940.0,GW010436.1.1,19.81,21.34,59.19,57.66,11000014.0,104011.0,104010.0,Shepparton Formation,(Unknown),UNK,UNK,,Shepparton Formation,25474,
10021940.0,GW010436.1.1,21.34,25.91,57.66,53.09,11000014.0,104011.0,104010.0,Shepparton Formation,Clay,UNK,UNK,,Shepparton Formation,25474,
10021940.0,GW010436.1.1,25.91,29.26,53.09,49.74,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10021940.0,GW010436.1.1,25.91,29.26,53.09,49.74,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10021940.0,GW010436.1.1,29.26,33.53,49.74,45.47,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10021940.0,GW010436.1.1,29.26,33.53,49.74,45.47,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10021940.0,GW010436.1.1,33.53,38.1,45.47,40.9,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10021940.0,GW010436.1.1,33.53,38.1,45.47,40.9,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10021940.0,GW010436.1.1,38.1,52.12,40.9,26.88,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10021940.0,GW010436.1.1,38.1,52.12,40.9,26.88,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10027658.0,GW010165.1.1,0.0,15.24,90.85,75.61,11000014.0,104011.0,104010.0,Shepparton Formation,Clay,UNK,UNK,,Shepparton Formation,25474,
10027658.0,GW010165.1.1,15.24,18.29,75.61,72.56,11000014.0,104011.0,104010.0,Shepparton Formation,Rock,UNK,UNK,,Shepparton Formation,25474,
10027658.0,GW010165.1.1,18.29,27.43,72.56,63.42,11000014.0,104011.0,104010.0,Shepparton Formation,Clay,UNK,UNK,,Shepparton Formation,25474,
10027658.0,GW010165.1.1,27.43,60.35,63.42,30.5,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sandstone,UNK,UNK,,Loxton Sand,10825,
10027658.0,GW010165.1.1,27.43,60.35,63.42,30.5,11000023.0,110007.0,110008.0,Renmark Group,Sandstone,UNK,UNK,,Renmark Group,16036,
10027658.0,GW010165.1.1,60.35,60.96,30.5,29.89,11000024.0,115028.0,115024.0,"Lower Renmark Group
",Gravel,UNK,UNK,,Renmark Group,16036,
