BoreID	HydroCode	FromDepth	GA_UNIT	X	Y	TopElev
10089672	GW010447.1.1	36.58	Renmark Group	143820.94722810457	6470243.005648646	34.52
10089672	GW010447.1.1	38.71	Loxton Sand	143820.94722810457	6470243.005648646	32.39
10089672	GW010447.1.1	38.71	Renmark Group	143820.94722810457	6470243.005648646	32.39
10104309	GW011333.1.1	0.0	Shepparton Formation	129695.28628359135	6449373.991774237	71.0
10104309	GW011333.1.1	8.84	Shepparton Formation	129695.28628359135	6449373.991774237	62.16
10104309	GW011333.1.1	12.19	Shepparton Formation	129695.28628359135	6449373.991774237	58.81
10104309	GW011333.1.1	12.8	Shepparton Formation	129695.28628359135	6449373.991774237	58.2
10104309	GW011333.1.1	13.41	Shepparton Formation	129695.28628359135	6449373.991774237	57.59
10104309	GW011333.1.1	14.33	Shepparton Formation	129695.28628359135	6449373.991774237	56.67
10104309	GW011333.1.1	28.04	Blanchetown Clay	129695.28628359135	6449373.991774237	42.96
10104309	GW011333.1.1	29.57	Blanchetown Clay	129695.28628359135	6449373.991774237	41.43
10104309	GW011333.1.1	45.72	Loxton Sand	129695.28628359135	6449373.991774237	25.28
10104309	GW011333.1.1	45.72	Renmark Group	129695.28628359135	6449373.991774237	25.28
10049589	GW015936.1.1	0.0	Shepparton Formation	131339.56498509756	6492977.783327628	86.81
10049589	GW015936.1.1	0.61	Shepparton Formation	131339.56498509756	6492977.783327628	86.2
10049589	GW015936.1.1	4.57	Shepparton Formation	131339.56498509756	6492977.783327628	82.24
10049589	GW015936.1.1	8.23	Shepparton Formation	131339.56498509756	6492977.783327628	78.58
10049589	GW015936.1.1	17.07	Blanchetown Clay	131339.56498509756	6492977.783327628	69.74
10049589	GW015936.1.1	27.74	Loxton Sand	131339.56498509756	6492977.783327628	59.07
10049589	GW015936.1.1	27.74	Renmark Group	131339.56498509756	6492977.783327628	59.07
10049589	GW015936.1.1	31.39	Loxton Sand	131339.56498509756	6492977.783327628	55.42
10049589	GW015936.1.1	31.39	Renmark Group	131339.56498509756	6492977.783327628	55.42
10049589	GW015936.1.1	34.75	Loxton Sand	131339.56498509756	6492977.783327628	52.06
10049589	GW015936.1.1	34.75	Renmark Group	131339.56498509756	6492977.783327628	52.06
10049589	GW015936.1.1	35.05	Loxton Sand	131339.56498509756	6492977.783327628	51.76
10049589	GW015936.1.1	35.05	Renmark Group	131339.56498509756	6492977.783327628	51.76
10049589	GW015936.1.1	39.01	Loxton Sand	131339.56498509756	6492977.783327628	47.8
10049589	GW015936.1.1	39.01	Renmark Group	131339.56498509756	6492977.783327628	47.8
10049589	GW015936.1.1	39.32	Loxton Sand	131339.56498509756	6492977.783327628	47.49
10049589	GW015936.1.1	39.32	Renmark Group	131339.56498509756	6492977.783327628	47.49
10049589	GW015936.1.1	42.37	Loxton Sand	131339.56498509756	6492977.783327628	44.44
