BoreID,HydroCode,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType
10076152,GW010711.1.1,,NGS,0,68.3,,,LIN,UNK,,152,UNK,,UNK,1
10129289,GW014564.1.1,,NGS,0,213.4,,,LIN,UNK,,152,UNK,,UNK,1
10129289,GW014564.1.1,,NGS,0,78.9,,,LIN,UNK,,203,UNK,,UNK,1
10129289,GW014564.1.1,,NGS,0.001,78.9,,,LIN,UNK,,203,UNK,,UNK,1
10013924,GW010777.1.1,,NGS,0,33.8,,,LIN,UNK,,102,UNK,,UNK,1
10013924,GW010777.1.1,,NGS,0,48.4,,,LIN,UNK,,203,UNK,,UNK,1
10013924,GW010777.1.1,,NGS,0.5,270.8,,,LIN,UNK,,127,UNK,,UNK,1
10013924,GW010777.1.1,,NGS,267.6,300.2,,,INLT,UNK,,102,UNK,,UNK,1
10140673,GW010787.1.1,,NGS,0,16.5,,,LIN,UNK,,152,UNK,,UNK,1
10144149,GW010800.1.1,,NGS,0,152.4,,,LIN,UNK,,127,UNK,,UNK,1
10144149,GW010800.1.1,,NGS,0.001,93,,,LIN,UNK,,152,UNK,,UNK,1
10011986,GW013640.1.1,,NGS,0,91.4,,,LIN,UNK,,152,UNK,,UNK,1
10139244,GW014672.1.1,,NGS,0,96.1,,,LIN,UNK,,203,UNK,,UNK,1
10139244,GW014672.1.1,,NGS,0.001,342.6,,,LIN,UNK,,152,UNK,,UNK,1
10139244,GW014672.1.1,,NGS,0.001,96.1,,,LIN,UNK,,203,UNK,,UNK,1
10117783,GW014797.1.1,,NGS,0,170.7,,,LIN,UNK,,152,UNK,,UNK,1
10117783,GW014797.1.1,,NGS,0,97.4,,,LIN,UNK,,203,UNK,,UNK,1
10090298,GW029810.1.1,,NGS,0,54.9,,,LIN,UNK,,152,UNK,,UNK,1
10117786,GW015975.1.1,,NGS,0,85.7,,,LIN,UNK,,152,UNK,,UNK,1
10143979,GW016020.1.1,,NGS,0,92.2,,,LIN,UNK,,203,UNK,,UNK,1
10143979,GW016020.1.1,,NGS,0.001,313.7,,,LIN,UNK,,152,UNK,,UNK,1
10011635,GW006253.1.1,,NGS,0,81,,,LIN,UNK,,127,UNK,,UNK,1
10011635,GW006253.1.1,,NGS,0,41.1,,,LIN,UNK,,152,UNK,,UNK,1
10022346,GW021896.1.1,,NGS,0,141.1,,,LIN,UNK,,152,UNK,,UNK,1
10022346,GW021896.1.1,,NGS,0,37.4,,,LIN,UNK,,203,UNK,,UNK,1
10043584,GW011176.1.1,,NGS,0,29,,,LIN,UNK,,152,UNK,,UNK,1
10000193,GW011198.1.1,,NGS,0,58.5,,,LIN,UNK,,127,UNK,,UNK,1
10000193,GW011198.1.1,,NGS,0,28.1,,,LIN,UNK,,152,UNK,,UNK,1
10000193,GW011198.1.1,,NGS,0.001,28.1,,,LIN,UNK,,152,UNK,,UNK,1
10137388,GW014921.1.1,,NGS,74.8,80.5,,,INLT,UNK,,127,UNK,,UNK,1
10137388,GW014921.1.1,,NGS,74.801,85.9,,,LIN,UNK,,127,UNK,,UNK,1
10137388,GW014921.1.1,,NGS,80.6,86,,,INLT,UNK,,127,UNK,,UNK,1
10072747,GW011134.1.1,,NGS,73.5,106.7,,,INLT,UNK,,127,UNK,,UNK,1
10052653,GW014016.1.1,,NGS,0.001,74.7,,,LIN,UNK,,152,UNK,,UNK,1
10133963,GW014537.1.1,,NGS,0,121.9,,,LIN,UNK,,127,UNK,,UNK,1
10133963,GW014537.1.1,,NGS,0,94.7,,,LIN,UNK,,152,UNK,,UNK,1
10133963,GW014537.1.1,,NGS,198.1,198.7,,,INLT,UNK,,127,UNK,,UNK,1
10133963,GW014537.1.1,,NGS,0.001,94.7,,,LIN,UNK,,152,UNK,,UNK,1
10133963,GW014537.1.1,,NGS,202.1,202.7,,,INLT,UNK,,127,UNK,,UNK,1
10117782,GW014760.1.1,,NGS,0,182,,,LIN,UNK,,152,UNK,,UNK,1
10117782,GW014760.1.1,,NGS,0,61.8,,,LIN,UNK,,203,UNK,,UNK,1
10117782,GW014760.1.1,,NGS,0.001,61.8,,,LIN,UNK,,203,UNK,,UNK,1
10130900,GW014648.1.1,,NGS,0,167.6,,,LIN,UNK,,152,UNK,,UNK,1
10130900,GW014648.1.1,,NGS,0,66.3,,,LIN,UNK,,203,UNK,,UNK,1
10130900,GW014648.1.1,,NGS,0.001,66.3,,,LIN,UNK,,203,UNK,,UNK,1
10054044,GW004277.1.1,,NGS,0,66.1,,,LIN,UNK,,152,UNK,,UNK,1
10016685,GW020271.1.1,,NGS,0,2.4,,,INLT,UNK,,102,UNK,,UNK,1
10138173,GW029763.1.1,,NGS,0,3,,,INLT,UNK,,102,UNK,,UNK,1
10028431,GW005922.1.1,,NGS,0,141.1,,,LIN,UNK,,127,UNK,,UNK,1
10028431,GW005922.1.1,,NGS,0,26.7,,,LIN,UNK,,152,UNK,,UNK,1
10120039,GW021842.1.1,,NGS,0,227,,,LIN,UNK,,162,UNK,,UNK,1
10120039,GW021842.1.1,,NGS,0,76.2,,,LIN,UNK,,203,UNK,,UNK,1
10120039,GW021842.1.1,,NGS,0.001,471.2,,,LIN,UNK,,162,UNK,,UNK,1
10084135,GW011099.1.1,,NGS,41.6,44.6,,,INLT,UNK,,76,UNK,,UNK,1
10123381,GW011136.1.1,,NGS,0,59.4,,,LIN,UNK,,152,UNK,,UNK,1
10049575,GW006283.1.1,,NGS,0,46.6,,,LIN,UNK,,152,UNK,,UNK,1
10125935,GW004545.1.1,133.1,NGS,0,808.3,133.1,-675.2,LIN,UNK,,152,UNK,,UNK,1
10125935,GW004545.1.1,133.1,NGS,0,110.9,133.1,22.2,LIN,UNK,,203,UNK,,UNK,1
10125935,GW004545.1.1,133.1,NGS,0,58,133.1,75.1,LIN,UNK,,254,UNK,,UNK,1
10115764,GW006375.1.1,,NGS,0,36.9,,,LIN,UNK,,152,UNK,,UNK,1
10115764,GW006375.1.1,,NGS,36.6,39.6,,,INLT,UNK,,95,UNK,,UNK,1
10124242,GW004602.1.1,126.6,NGS,0,613.9,126.6,-487.3,LIN,UNK,,127,UNK,,UNK,1
10124242,GW004602.1.1,126.6,NGS,0,58.5,126.6,68.1,LIN,UNK,,254,UNK,,UNK,1
10063754,GW011041.1.1,,NGS,0,143.3,,,LIN,UNK,,127,UNK,,UNK,1
10063754,GW011041.1.1,,NGS,0,90.6,,,LIN,UNK,,152,UNK,,UNK,1
10143976,GW011115.1.1,,NGS,0,360.3,,,LIN,UNK,,127,UNK,,UNK,1
10143976,GW011115.1.1,,NGS,0,76.2,,,LIN,UNK,,152,UNK,,UNK,1
10079955,GW034491.1.1,,NGS,0,64.2,,,LIN,UNK,,203,UNK,,UNK,1
10113467,GW011310.1.1,,NGS,0.001,61.8,,,LIN,UNK,,152,UNK,,UNK,1
10018642,GW014229.1.1,,NGS,0,3,,,INLT,UNK,,102,UNK,,UNK,1
10117548,GW010785.1.1,,NGS,0,71.9,,,LIN,UNK,,152,UNK,,UNK,1
10031676,GW010693.1.1,,NGS,0,3.3,,,INLT,UNK,,89,UNK,,UNK,1
10139566,GW014316.1.1,,NGS,0,61,,,LIN,UNK,,,UNK,,UNK,1
10139566,GW014316.1.1,,NGS,0,43.8,,,LIN,UNK,,152,UNK,,UNK,1
10062904,GW021860.1.1,,NGS,0.001,38.4,,,LIN,UNK,,203,UNK,,UNK,1
10062904,GW021860.1.1,,NGS,0,229.8,,,LIN,UNK,,127,UNK,,UNK,1
10062904,GW021860.1.1,,NGS,0,97.8,,,LIN,UNK,,152,UNK,,UNK,1
10062904,GW021860.1.1,,NGS,0,38.4,,,LIN,UNK,,203,UNK,,UNK,1
10062904,GW021860.1.1,,NGS,0.001,97.8,,,LIN,UNK,,152,UNK,,UNK,1
10129595,GW014870.1.1,,NGS,0,108.2,,,LIN,UNK,,203,UNK,,UNK,1
10129595,GW014870.1.1,,NGS,0,182.9,,,LIN,UNK,,152,UNK,,UNK,1
10129595,GW014870.1.1,,NGS,0.001,108.2,,,LIN,UNK,,203,UNK,,UNK,1
10046143,GW012933.1.1,,NGS,0,54.9,,,LIN,UNK,,152,UNK,,UNK,1
10133149,GW011265.1.1,,NGS,0,280.6,,,LIN,UNK,,102,UNK,,UNK,1
10104309,GW011333.1.1,,NGS,53.1,56.4,,,INLT,UNK,,102,UNK,,UNK,1
10085816,GW010634.1.1,,NGS,0,200.6,,,LIN,UNK,,127,UNK,,UNK,1
10085816,GW010634.1.1,,NGS,0,63.2,,,LIN,UNK,,152,UNK,,UNK,1
10098259,GW010691.1.1,,NGS,22.6,25.9,,,INLT,UNK,,102,UNK,,UNK,1
10110991,GW011334.1.1,,NGS,0,303.6,,,LIN,UNK,,127,UNK,,UNK,1
10110991,GW011334.1.1,,NGS,0,61,,,LIN,UNK,,152,UNK,,UNK,1
10082139,GW022367.1.1,,NGS,0,107.4,,,LIN,UNK,,127,UNK,,UNK,1
10082139,GW022367.1.1,,NGS,0,63.9,,,LIN,UNK,,152,UNK,,UNK,1
10082139,GW022367.1.1,,NGS,0.001,63.9,,,LIN,UNK,,152,UNK,,UNK,1
10061135,GW021861.1.1,,NGS,0,46.9,,,LIN,UNK,,152,UNK,,UNK,1
10061135,GW021861.1.1,,NGS,0.001,46.9,,,LIN,UNK,,152,UNK,,UNK,1
10111422,GW010647.1.1,,NGS,0,79.9,,,LIN,UNK,,152,UNK,,UNK,1
10141204,GW010667.1.1,,NGS,0,6,,,LIN,UNK,,127,UNK,,UNK,1
10141204,GW010667.1.1,,NGS,0,50,,,LIN,UNK,,152,UNK,,UNK,1
10141204,GW010667.1.1,,NGS,0.001,50,,,LIN,UNK,,152,UNK,,UNK,1
10141204,GW010667.1.1,,NGS,175.5,182.8,,,INLT,UNK,,127,UNK,,UNK,1
10141204,GW010667.1.1,,NGS,239.2,240.4,,,INLT,UNK,,127,UNK,,UNK,1
10141204,GW010667.1.1,,NGS,241.7,248.4,,,INLT,UNK,,127,UNK,,UNK,1
10008673,GW013728.1.1,,NGS,0,49.4,,,LIN,UNK,,152,UNK,,UNK,1
10121241,GW014792.1.1,,NGS,0,45.7,,,LIN,UNK,,152,UNK,,UNK,1
10121241,GW014792.1.1,,NGS,0,25.4,,,LIN,UNK,,203,UNK,,UNK,1
10121241,GW014792.1.1,,NGS,0.001,25.4,,,LIN,UNK,,203,UNK,,UNK,1
10121241,GW014792.1.1,,NGS,79.4,91.5,,,LIN,UNK,,127,UNK,,UNK,1
10121241,GW014792.1.1,,NGS,83.5,86.9,,,INLT,UNK,,127,UNK,,UNK,1
10145537,GW014796.1.1,,NGS,0,121.9,,,LIN,UNK,,152,UNK,,UNK,1
10145537,GW014796.1.1,,NGS,0,84.3,,,LIN,UNK,,203,UNK,,UNK,1
10145537,GW014796.1.1,,NGS,0.001,84.3,,,LIN,UNK,,203,UNK,,UNK,1
10130567,GW014840.1.1,,NGS,0,189,,,LIN,UNK,,152,UNK,,UNK,1
10130567,GW014840.1.1,,NGS,0,110.3,,,LIN,UNK,,203,UNK,,UNK,1
10130567,GW014840.1.1,,NGS,0.001,296.9,,,LIN,UNK,,152,UNK,,UNK,1
10012497,GW010756.1.1,,NGS,0,41.1,,,LIN,UNK,,,UNK,,UNK,1
10012497,GW010756.1.1,,NGS,0,41.1,,,LIN,UNK,,152,UNK,,UNK,1
10009580,GW010775.1.1,,NGS,0,35.3,,,LIN,UNK,,102,UNK,,UNK,1
10009580,GW010775.1.1,,NGS,0,263,,,LIN,UNK,,127,UNK,,UNK,1
10009580,GW010775.1.1,,NGS,0,108.5,,,LIN,UNK,,152,UNK,,UNK,1
10009580,GW010775.1.1,,NGS,0,68.8,,,LIN,UNK,,203,UNK,,UNK,1
10009580,GW010775.1.1,,NGS,260.9,284.1,,,INLT,UNK,,102,UNK,,UNK,1
10084322,GW015974.1.1,,NGS,0,127.4,,,LIN,UNK,,152,UNK,,UNK,1
10084322,GW015974.1.1,,NGS,0,127.4,,,LIN,UNK,,203,UNK,,UNK,1
10141855,GW012191.1.1,,NGS,0,50.3,,,LIN,UNK,,203,UNK,,UNK,1
10141855,GW012191.1.1,,NGS,356.6,405.4,,,INLT,UNK,,152,UNK,,UNK,1
10123825,GW012255.1.1,,NGS,0,100.2,,,LIN,UNK,,152,UNK,,UNK,1
10123825,GW012255.1.1,,NGS,0,94.3,,,LIN,UNK,,203,UNK,,UNK,1
10021762,GW017692.1.1,,NGS,8.5,9.1,,,INLT,UNK,,152,UNK,,UNK,1
10021762,GW017692.1.1,,NGS,85.6,87.1,,,INLT,UNK,,152,UNK,,UNK,1
10056977,GW015748.1.1,,NGS,0,48.7,,,LIN,UNK,,152,UNK,,UNK,1
10056977,GW015748.1.1,,NGS,0.001,163.8,,,LIN,UNK,,127,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,0,492.3,,,LIN,UNK,,102,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,0,106.7,,,LIN,UNK,,127,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,0,106.7,,,LIN,UNK,,152,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,0.001,196.6,,,LIN,UNK,,127,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,187.8,188.7,,,INLT,UNK,,127,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,190.2,191.1,,,INLT,UNK,,127,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,192.6,193.5,,,INLT,UNK,,127,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,195.1,196,,,INLT,UNK,,127,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,387.7,388.9,,,INLT,UNK,,102,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,389.8,391.6,,,INLT,UNK,,102,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,393.5,395.3,,,INLT,UNK,,102,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,462.4,463.6,,,INLT,UNK,,102,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,464.8,466.6,,,INLT,UNK,,102,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,470,470.6,,,INLT,UNK,,102,UNK,,UNK,1
10124246,GW004172.1.1,,NGS,471.8,472.7,,,INLT,UNK,,102,UNK,,UNK,1
10090082,GW019949.1.1,,NGS,61,62.5,,,INLT,UNK,,127,UNK,,UNK,1
10090082,GW019949.1.1,,NGS,69.5,75,,,INLT,UNK,,127,UNK,,UNK,1
10099937,GW012662.1.1,,NGS,0,99.4,,,LIN,UNK,,152,UNK,,UNK,1
